,SAVG,SSD,lnWgts
MHETHANOL - TOT RETURN IND,-0.9880604704877596,12.706042876427503,-5.046262738993218
KOLMAR KOREA HOLDINGS - TOT RETURN IND,1.0561005106652586,12.037790897630689,4.64374481552109
CHEIL GRG.WHEEL IND. - TOT RETURN IND,1.0136851310808146,11.687909743255057,4.328127414589988
SEJONG INDUSTRIAL - TOT RETURN IND,2.02322652748168,14.478194298048317,4.318081660581647
SHINHWASILUP - TOT RETURN IND,0.02860728201299878,12.73655398524481,1.686860138385127
SSANGYONG CEMENT INDL. - TOT RETURN IND,-1.5705926038723723,14.84110799293357,-7.57991989529092
KYUNGBANG - TOT RETURN IND,-0.47410050055723957,14.607150979490022,1.193773145355049
KOREA AIRPORT SER. - TOT RETURN IND,0.6273246166348737,11.17759672986599,1.9778662598089853
BOLAK - TOT RETURN IND,0.663310183949437,17.587319603991308,0.5350709376058467
G2R - TOT RETURN IND,-0.7669343613821198,9.34778264588406,-5.057341737563595
