,SAVG,SSD,lnWgts
MHETHANOL - TOT RETURN IND,-1.2597856013803068,6.79215042902771,0.8318773397220436
KOLMAR KOREA HOLDINGS - TOT RETURN IND,-2.442545884524665,13.802667343321517,0.6329259047414527
CHEIL GRG.WHEEL IND. - TOT RETURN IND,0.033280108689359135,8.287670361526636,-0.23948462179378457
SEJONG INDUSTRIAL - TOT RETURN IND,-1.4743232034972649,11.725555386361913,0.41735718934309196
SHINHWASILUP - TOT RETURN IND,0.20287177232750186,12.842493657753984,0.04640580212474231
SSANGYONG CEMENT INDL. - TOT RETURN IND,1.4434083861424012,11.424278392528281,-0.6680102186600304
KYUNGBANG - TOT RETURN IND,-1.8370863621844786,6.289685558212724,1.3385754491442075
KOREA AIRPORT SER. - TOT RETURN IND,0.5582766967047105,6.531832168227336,-0.7519873868947644
BOLAK - TOT RETURN IND,1.6010064846183687,11.546962358269543,-0.7853837556103653
G2R - TOT RETURN IND,-0.7161049718544243,6.319307026114833,0.1777242978834066
